,school_name,percent_with_no_valid_teaching_ceriticate,percent_teaching_out_of_certificate,percent_with_less_than_3_yrs_experience,percent_with_masters_and_30yrs_or_Doctorate,total_number_of_classes,percent_taught_by_teachers_without_appropriate_certificate
203,MARIE CURIE HIGH SCHOOL-NURSING,0,3,9,46,168,4
204,MS 390,3,34,23,46,151,34
205,PULSE HIGH SCHOOL,0,57,0,50,109,44
206,RIVERDALE/KINGSBRIDGE (MS/HS 141),1,15,11,43,509,8
207,THEATRE ARTS PROD COMPANY SCHOOL,0,4,22,39,237,7
208,WEST BRONX ACAD FOR THE FUTURE,7,24,22,33,227,16
209,WORLD VIEW HIGH SCHOOL,0,55,42,24,195,47
210,ACAD-SCHOLARSHIP & ENTREPRENEURSHIP,0,59,14,55,159,31
211,ASTOR COLLEGIATE ACADEMY,4,11,7,44,137,11
212,BRONX ACADEMY OF HEALTH CAREERS,0,7,19,52,146,5
213,BRONX AEROSPACE HIGH SCHOOL,13,33,8,46,129,31
214,BRONX HEALTH SCIENCES HIGH SCHOOL,5,16,16,58,87,15
215,BRONX HIGH SCH-WRITING & COMM ARTS,5,41,18,32,99,29
216,BRONX HIGH SCHOOL FOR THE VISUAL ART,3,58,3,48,209,40
217,BRONX LAB SCHOOL,6,36,12,36,134,29
218,BRONXDALE HIGH SCHOOL,0,14,24,17,138,9
219,BRONXWOOD PREP ACADEMY (THE),0,31,19,23,134,25
220,COLLEGIATE INST FOR MATH & SCI,3,23,17,57,171,23
221,HARRY S TRUMAN HIGH SCHOOL,4,16,14,51,512,15
222,HIGH SCHOOL FOR CONTEMPORARY ARTS,0,38,0,58,153,24
223,HIGH SCHOOL-COMPUTERS & TECHNOLOGY,0,15,4,37,119,12
224,HS FOR LANGUAGE-INNOVATION,0,11,25,29,133,9
225,LEADERS OF TOMORROW,3,59,25,34,172,40
226,NEW WORLD HIGH SCHOOL,0,17,0,48,136,10
227,PELHAM PREPARATORY ACADEMY,4,18,4,50,151,13
228,ARTURO A SCHOMBURG SATTELLITE-BRONX,0,18,36,18,44,18
229,BRONX CAREER AND COLLEGE PREP HS,0,40,20,32,144,24
230,BRONX ENVISION ACADEMY,0,22,19,53,197,23
231,BRONX LATIN SCHOOL,7,58,29,31,262,46
232,BRONX REGIONAL HIGH SCHOOL,0,31,0,85,88,23
233,CINEMA SCHOOL (THE),5,14,10,29,109,9
234,EAST BRONX ACADEMY FOR THE FUTURE,4,21,13,26,214,14
235,EXPLORATIONS ACADEMY HS,4,31,27,23,103,31
236,FANNIE LOU HAMER FREEDOM HS,0,13,10,42,117,17
237,HIGH SCHOOL OF WORLD CULTURES,0,30,40,33,184,28
238,METROPOLITAN HIGH SCHOOL (THE),6,39,24,27,196,32
239,METROPOLITAN SOUNDVIEW HIGH (THE),3,30,9,30,182,23
240,MOTT HALL V,10,70,22,16,292,51
241,PAN AMERICAN INTERNATIONAL HS-MONROE,0,10,32,23,137,9
242,WINGS ACADEMY,3,31,9,53,195,20
243,ACORN COMMUNITY HS,0,61,0,22,110,32
244,BEDFORD ACADEMY HIGH SCHOOL,0,20,5,50,139,16
245,BENJAMIN BANNEKER ACADEMY,5,16,7,47,210,15
246,BROOKLYN ACADEMY HIGH SCHOOL,0,8,0,67,80,8
247,BROOKLYN COMM ARTS-MEDIA HS,0,19,7,37,135,15
248,BROOKLYN HS-LEADERSHIP & COMMUNITY,0,8,15,31,41,10
249,BROOKLYN INTERNATIONAL HS,0,4,16,60,124,6
250,BROOKLYN TECHNICAL HIGH SCHOOL,0,3,4,69,1153,2
