school_name,percent_graduated,percent_with_no_valid_teaching_ceriticate,percent_teaching_out_of_certificate,percent_with_less_than_3_yrs_experience,percent_with_masters_and_30yrs_or_Doctorate,total_number_of_classes,percent_taught_by_teachers_without_appropriate_certificate
BRONX HIGH SCHOOL OF BUSINESS,57.4,0.0,12.0,12.0,52.0,133.0,9.0
HIGH SCHOOL FOR VIOLIN AND DANCE,65.8,0.0,19.0,0.0,50.0,85.0,11.0
CLAREMONT INTERNATIONAL HS,55.8,4.0,50.0,19.0,31.0,165.0,34.0
BRONX COLLABORATIVE HIGH SCHOOL,22.9,3.0,17.0,22.0,17.0,242.0,14.0
WORLD VIEW HIGH SCHOOL,85.7,0.0,55.0,42.0,24.0,195.0,47.0
BELMONT PREPARATORY HIGH SCHOOL,87.8,3.0,31.0,10.0,45.0,137.0,28.0
FORDHAM HIGH SCHOOL FOR THE ARTS,92.1,11.0,33.0,48.0,7.0,114.0,28.0
DEWITT CLINTON HIGH SCHOOL,45.7,1.0,28.0,9.0,68.0,414.0,20.0
BRONX HIGH SCHOOL OF SCIENCE,99.7,2.0,6.0,11.0,59.0,669.0,4.0
CROTONA INTERNATIONAL HIGH SCHOOL,59.0,5.0,35.0,25.0,50.0,85.0,20.0
BRONX THEATRE HIGH SCHOOL,60.5,0.0,52.0,4.0,60.0,168.0,29.0
DISCOVERY HIGH SCHOOL,73.8,0.0,29.0,29.0,39.0,170.0,20.0
BRONX HEALTH SCIENCES HIGH SCHOOL,94.5,5.0,16.0,16.0,58.0,87.0,15.0
BRONX LAB SCHOOL,54.8,6.0,36.0,12.0,36.0,134.0,29.0
BRONX ACADEMY OF HEALTH CAREERS,75.0,0.0,7.0,19.0,52.0,146.0,5.0
ASTOR COLLEGIATE ACADEMY,75.4,4.0,11.0,7.0,44.0,137.0,11.0
HARRY S TRUMAN HIGH SCHOOL,74.1,4.0,16.0,14.0,51.0,512.0,15.0
BRONXDALE HIGH SCHOOL,76.9,0.0,14.0,24.0,17.0,138.0,9.0
NEW WORLD HIGH SCHOOL,84.1,0.0,17.0,0.0,48.0,136.0,10.0
PELHAM PREPARATORY ACADEMY,89.4,4.0,18.0,4.0,50.0,151.0,13.0
HIGH SCHOOL FOR CONTEMPORARY ARTS,70.7,0.0,38.0,0.0,58.0,153.0,24.0
BRONX AEROSPACE HIGH SCHOOL,64.8,13.0,33.0,8.0,46.0,129.0,31.0
MOTT HALL V,79.5,10.0,70.0,22.0,16.0,292.0,51.0
EAST BRONX ACADEMY FOR THE FUTURE,76.3,4.0,21.0,13.0,26.0,214.0,14.0
BRONX REGIONAL HIGH SCHOOL,7.7,0.0,31.0,0.0,85.0,88.0,23.0
BRONX ENVISION ACADEMY,64.8,0.0,22.0,19.0,53.0,197.0,23.0
HIGH SCHOOL OF WORLD CULTURES,38.5,0.0,30.0,40.0,33.0,184.0,28.0
WINGS ACADEMY,46.7,3.0,31.0,9.0,53.0,195.0,20.0
BROOKLYN TECHNICAL HIGH SCHOOL,95.5,0.0,3.0,4.0,69.0,1153.0,2.0
BROOKLYN ACADEMY HIGH SCHOOL,24.1,0.0,8.0,0.0,67.0,80.0,8.0
BEDFORD ACADEMY HIGH SCHOOL,97.6,0.0,20.0,5.0,50.0,139.0,16.0
BENJAMIN BANNEKER ACADEMY,87.6,5.0,16.0,7.0,47.0,210.0,15.0
JUAN MOREL CAMPOS SECONDARY SCHOOL,64.9,8.0,33.0,6.0,37.0,268.0,33.0
WILLIAMSBURG PREPARATORY SCHOOL,94.0,0.0,9.0,2.0,51.0,257.0,7.0
LYONS COMMUNITY SCHOOL,64.2,6.0,20.0,14.0,41.0,196.0,18.0
BROOKLYN FRONTIERS HIGH SCHOOL,40.5,0.0,31.0,23.0,27.0,99.0,26.0
PARK SLOPE COLLEGIATE,62.9,4.0,13.0,24.0,26.0,193.0,13.0
WEST BROOKLYN COMMUNITY HIGH SCHOOL,9.3,6.0,63.0,6.0,44.0,112.0,48.0
KHALIL GIBRAN INTERNATIONAL ACADEMY,62.7,0.0,17.0,26.0,22.0,109.0,17.0
BROOKLYN HIGH SCHOOL OF THE ARTS,73.5,0.0,28.0,13.0,44.0,265.0,22.0
SUNSET PARK HIGH SCHOOL,76.8,3.0,24.0,28.0,33.0,491.0,15.0
BOYS AND GIRLS HIGH SCHOOL,61.5,4.0,35.0,19.0,46.0,163.0,31.0
GOTHAM PROFESSIONAL ARTS ACADEMY,44.2,7.0,13.0,7.0,33.0,87.0,10.0
RESEARCH AND SERVICE HIGH SCHOOL,18.8,0.0,50.0,7.0,43.0,71.0,38.0
ACADEMY OF HOSPITALITY AND TOURISM,50.9,0.0,13.0,7.0,60.0,78.0,8.0
CLARA BARTON HIGH SCHOOL,69.1,0.0,16.0,5.0,56.0,325.0,10.0
BROOKLYN INSTITUTE FOR LIBERAL ARTS,91.8,4.0,44.0,52.0,4.0,143.0,37.0
ACADEMY FOR HEALTH CAREERS,79.0,8.0,23.0,12.0,23.0,122.0,19.0
IT TAKES A VILLAGE ACADEMY,89.2,0.0,18.0,13.0,40.0,288.0,15.0
BROOKLYN THEATRE ARTS HIGH SCHOOL,74.7,0.0,28.0,6.0,67.0,106.0,32.0
VICTORY COLLEGIATE HIGH SCHOOL,71.9,10.0,50.0,5.0,40.0,98.0,46.0
BROOKLYN BRIDGE ACADEMY,21.0,7.0,20.0,13.0,53.0,60.0,18.0
HIGH SCHOOL FOR MEDICAL PROFESSIONS,87.9,9.0,30.0,4.0,43.0,146.0,22.0
OLYMPUS ACADEMY,20.2,0.0,13.0,13.0,44.0,81.0,14.0
URBAN ACTION ACADEMY,49.4,0.0,23.0,18.0,36.0,101.0,21.0
EAST BROOKLYN COMMUNITY HIGH SCHOOL,30.0,0.0,39.0,17.0,17.0,87.0,41.0
ACADEMY FOR YOUNG WRITERS,83.1,7.0,51.0,27.0,29.0,211.0,43.0
EAST NEW YORK FAMILY ACADEMY,88.9,0.0,23.0,13.0,38.0,212.0,14.0
HIGH SCHOOL FOR CIVIL RIGHTS,55.3,8.0,15.0,15.0,38.0,57.0,14.0
MULTICULTURAL HIGH SCHOOL,62.0,6.0,18.0,24.0,65.0,72.0,13.0
ACADEMY OF INNOVATIVE TECHNOLOGY,71.6,3.0,56.0,10.0,38.0,218.0,36.0
BROOKLYN LAB SCHOOL,53.3,5.0,32.0,23.0,23.0,104.0,36.0
NEW UTRECHT HIGH SCHOOL,77.2,1.0,10.0,9.0,58.0,874.0,10.0
FORT HAMILTON HIGH SCHOOL,70.4,0.0,30.0,8.0,61.0,1274.0,24.0
HIGH SCHOOL OF SPORTS MANAGEMENT,59.3,0.0,27.0,0.0,53.0,91.0,20.0
ABRAHAM LINCOLN HIGH SCHOOL,67.1,3.0,20.0,8.0,53.0,525.0,13.0
KINGSBOROUGH EARLY COLLEGE SCHOOL,95.0,3.0,14.0,11.0,41.0,174.0,13.0
JOHN DEWEY HIGH SCHOOL,75.9,6.0,13.0,22.0,52.0,589.0,13.0
BROOKLYN STUDIO SECONDARY SCHOOL,82.2,0.0,19.0,8.0,58.0,266.0,13.0
LIBERATION DIPLOMA PLUS,14.9,0.0,36.0,0.0,45.0,82.0,35.0
MIDWOOD HIGH SCHOOL,87.9,1.0,10.0,8.0,55.0,845.0,9.0
JAMES MADISON HIGH SCHOOL,79.2,0.0,12.0,5.0,62.0,786.0,12.0
BROOKLYN COLLEGE ACADEMY,97.2,3.0,3.0,23.0,48.0,122.0,3.0
ORIGINS HIGH SCHOOL,74.5,9.0,53.0,41.0,16.0,235.0,43.0
PROFESSIONAL PATHWAYS HIGH SCHOOL,21.0,0.0,18.0,12.0,24.0,109.0,9.0
BROOKLYN DEMOCRACY ACADEMY,15.6,0.0,50.0,7.0,64.0,92.0,35.0
EAGLE ACADEMY FOR YOUNG MEN II,65.3,5.0,38.0,12.0,29.0,240.0,38.0
ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,20.2,0.0,24.0,24.0,59.0,128.0,16.0
TEACHERS PREPARATORY HIGH SCHOOL,64.6,0.0,18.0,5.0,32.0,130.0,20.0
CIVIC LEADERSHIP ACADEMY,94.0,0.0,16.0,6.0,29.0,164.0,15.0
NEWTOWN HIGH SCHOOL,63.2,1.0,7.0,8.0,56.0,628.0,6.0
GROVER CLEVELAND HIGH SCHOOL,58.6,0.0,36.0,5.0,60.0,608.0,26.0
MASPETH HIGH SCHOOL,97.7,3.0,23.0,25.0,20.0,320.0,18.0
VOYAGES PREPARATORY,13.2,0.0,13.0,13.0,38.0,57.0,14.0
VERITAS ACADEMY,76.5,5.0,37.0,39.0,32.0,170.0,28.0
JOHN BOWNE HIGH SCHOOL,69.8,2.0,11.0,8.0,57.0,954.0,9.0
FLUSHING HIGH SCHOOL,57.5,1.0,17.0,11.0,60.0,508.0,13.0
TOWNSEND HARRIS HIGH SCHOOL,99.2,0.0,11.0,2.0,77.0,264.0,8.0
QUEENS ACADEMY HIGH SCHOOL,7.3,0.0,5.0,5.0,45.0,99.0,5.0
NORTH QUEENS COMMUNITY HIGH SCHOOL,8.4,0.0,0.0,8.0,54.0,51.0,4.0
FRANCIS LEWIS HIGH SCHOOL,83.4,0.0,12.0,9.0,59.0,1009.0,8.0
MARTIN VAN BUREN HIGH SCHOOL,62.8,1.0,5.0,3.0,59.0,380.0,5.0
CHANNEL VIEW SCHOOL FOR RESEARCH,91.1,0.0,2.0,11.0,47.0,235.0,1.0
SCHOLARS' ACADEMY,100.0,1.0,23.0,19.0,39.0,305.0,16.0
ROCKAWAY COLLEGIATE HIGH SCHOOL,63.4,0.0,38.0,21.0,29.0,162.0,28.0
AUGUST MARTIN HIGH SCHOOL,60.2,0.0,62.0,15.0,46.0,175.0,42.0
RICHMOND HILL HIGH SCHOOL,67.5,3.0,22.0,13.0,47.0,700.0,18.0
JOHN ADAMS HIGH SCHOOL,66.9,3.0,18.0,30.0,31.0,887.0,16.0
YORK EARLY COLLEGE ACADEMY,97.5,0.0,17.0,3.0,55.0,137.0,18.0
HILLSIDE ARTS & LETTERS ACADEMY,84.3,0.0,55.0,7.0,52.0,163.0,32.0
HIGH SCHOOL FOR COMMUNITY LEADERSHIP,90.6,0.0,50.0,13.0,16.0,184.0,34.0
JAMAICA GATEWAY TO THE SCIENCES,82.8,0.0,11.0,15.0,30.0,127.0,14.0
HILLCREST HIGH SCHOOL,69.3,0.0,10.0,6.0,56.0,849.0,7.0
QUEENS METROPOLITAN HIGH SCHOOL,79.9,0.0,22.0,6.0,42.0,407.0,20.0
QUEENS PREPARATORY ACADEMY,67.3,4.0,14.0,7.0,46.0,132.0,15.0
CAMBRIA HEIGHTS ACADEMY,82.8,0.0,36.0,21.0,46.0,192.0,23.0
EAGLE ACADEMY FOR YOUNG MEN III,92.6,0.0,44.0,0.0,44.0,253.0,27.0
ENERGY TECH HIGH SCHOOL,89.1,3.0,14.0,26.0,31.0,139.0,12.0
INFORMATION TECHNOLOGY HIGH SCHOOL,80.3,2.0,9.0,12.0,45.0,268.0,11.0
NEWCOMERS HIGH SCHOOL,73.0,0.0,9.0,5.0,62.0,255.0,8.0
ACADEMY OF AMERICAN STUDIES,92.1,0.0,22.0,11.0,47.0,210.0,20.0
NEW DORP HIGH SCHOOL,78.6,1.0,32.0,8.0,62.0,1038.0,26.0
PORT RICHMOND HIGH SCHOOL,66.2,1.0,13.0,8.0,55.0,401.0,10.0
CURTIS HIGH SCHOOL,71.5,1.0,30.0,7.0,62.0,804.0,19.0
TOTTENVILLE HIGH SCHOOL,87.2,1.0,20.0,4.0,70.0,923.0,15.0
CONCORD HIGH SCHOOL,13.9,0.0,42.0,0.0,67.0,56.0,29.0
