,0
501,800000058096
502,800000059128
503,800000077818
504,800000075027
505,800000069144
506,800000059922
507,800000046211
508,800000083436
509,800000056071
510,800000077822
511,800000077823
512,800000057116
513,800000057979
514,800000045625
515,800000056074
516,800000057985
517,800000058097
518,800000046270
519,800000057143
520,800000057135
521,800000065472
522,800000070868
523,800000045624
524,800000057148
525,800000065473
526,800000062371
527,800000062377
528,800000056072
529,800000056073
530,800000045604
531,800000075028
532,800000056067
533,800000056062
534,800000046209
535,800000059631
536,800000046256
537,800000046232
538,800000046249
539,800000046260
540,800000045629
541,800000059083
542,800000059085
543,800000060390
544,800000057115
545,800000056065
546,800000058085
547,800000046276
548,800000046210
549,800000059114
550,800000046279
551,800000046254
552,800000046255
553,800000046257
554,800000046258
555,800000046243
556,800000046281
557,800000046263
558,800000046231
559,800000046236
560,800000046238
561,800000046275
562,800000046240
563,800000046241
564,800000046242
565,800000046265
566,800000046266
567,800000046230
568,800000046208
569,800000046267
570,800000046212
571,800000046269
572,800000046272
573,800000046273
574,800000046277
575,800000046261
576,800000046262
577,800000046244
578,800000046278
579,800000046245
580,800000046246
581,800000046247
582,800000046271
583,800000046280
584,800000046237
585,800000058105
586,800000046252
587,800000062375
588,800000059126
589,800000046268
590,800000058099
591,800000077824
592,800000059071
593,800000059608
594,800000057977
595,800000065474
596,800000070870
597,800000057978
598,800000057141
599,800000077825
600,800000059610
601,800000057980
602,800000057981
603,800000056060
604,800000057982
605,800000075029
606,800000070871
607,800000059101
608,800000045620
609,800000058009
610,800000060404
611,800000065479
612,800000057137
613,800000059080
614,800000045627
615,800000057140
616,800000058028
617,800000070872
618,800000045983
619,800000045989
620,800000045975
621,800000060378
622,800000075031
623,800000085450
624,800000045991
625,800000045982
626,800000059094
627,800000059109
628,800000070869
629,800000065475
630,800000075030
631,800000057138
632,800000046001
633,800000046002
634,800000046003
635,800000046004
636,800000046005
637,800000045986
638,800000045988
639,800000045976
640,800000046012
641,800000045977
642,800000045997
643,800000045998
644,800000046006
645,800000046007
646,800000045992
647,800000045993
648,800000045994
649,800000045995
650,800000045996
651,800000046016
652,800000046017
653,800000045999
654,800000046000
655,800000057117
656,800000069145
657,800000085449
658,800000059124
659,800000077826
660,800000057974
661,800000070873
662,800000069146
663,800000065478
664,800000070875
665,800000057983
666,800000045641
667,800000045659
668,800000065477
669,800000058011
670,800000062372
671,800000062373
672,800000056097
673,800000059077
674,800000077827
675,800000045637
676,800000059078
677,800000058017
678,800000045664
679,800000045774
680,800000045792
681,800000058032
682,800000059087
683,800000070893
684,800000045640
685,800000045642
686,800000059092
687,800000045764
688,800000059093
689,800000062376
690,800000058065
691,800000058080
692,800000045778
693,800000045776
694,800000045743
695,800000045747
696,800000045748
697,800000045750
698,800000045752
699,800000045753
700,800000045754
701,800000045762
702,800000045765
703,800000045766
704,800000070874
705,800000045767
706,800000090308
707,800000045761
708,800000045768
709,800000045769
710,800000045770
711,800000045773
712,800000083456
713,800000056096
714,800000059118
715,800000060381
716,800000065476
717,800000045638
718,800000059622
719,800000059119
720,800000043483
721,800000057162
722,800000043535
723,800000045542
724,800000057160
725,800000059611
726,800000062326
727,800000043556
728,800000043516
729,800000065480
730,800000058072
731,800000045536
732,800000069171
733,800000043527
734,800000043475
735,800000060388
736,800000045547
737,800000045537
738,800000058104
739,800000060375
740,800000045551
741,800000045549
742,800000045552
743,800000045550
744,800000045538
745,800000045558
746,800000045560
747,800000045564
748,800000045540
749,800000045541
750,800000045557
751,800000045561
752,800000045543
753,800000045544
754,800000045545
755,800000045565
756,800000045566
757,800000091318
758,800000045546
759,800000058070
760,800000058071
761,800000043506
762,800000059617
763,800000059123
764,800000075032
765,800000058090
766,800000043476
767,800000075073
768,800000059612
769,800000057989
770,800000058101
771,800000043508
772,800000043446
773,800000059079
774,800000062333
775,800000043493
776,800000045331
777,800000045332
778,800000045341
779,800000045334
780,800000060396
781,800000058102
782,800000043501
783,800000045336
784,800000045355
785,800000045342
786,800000045343
787,800000045346
788,800000045347
789,800000045348
790,800000045349
791,800000045327
792,800000045350
793,800000045328
794,800000045329
795,800000045330
796,800000045351
797,800000045338
798,800000045353
799,800000045339
800,800000045333
801,800000045335
802,800000045326
803,800000059121
804,800000058092
805,800000059626
806,800000058100
807,800000062325
808,800000043481
809,800000057121
810,800000070895
811,800000043459
812,800000045176
813,800000043471
814,800000057169
815,800000043515
816,800000045174
817,800000045149
818,800000043495
819,800000060374
820,800000045193
821,800000057120
822,800000077828
823,800000043530
824,800000070894
825,800000057118
826,800000045147
827,800000085451
828,800000057119
829,800000043548
830,800000057170
831,800000045192
832,800000045151
833,800000045152
834,800000045153
835,800000045154
836,800000045194
837,800000045160
838,800000045161
839,800000045146
840,800000045162
841,800000045155
842,800000045164
843,800000045157
844,800000045165
845,800000045158
846,800000045166
847,800000045167
848,800000045148
849,800000045150
850,800000065482
851,800000090309
852,800000056057
853,800000077829
854,800000065481
855,800000058075
856,800000059701
857,800000045177
858,800000043520
859,800000062329
860,800000062330
861,800000090310
862,800000043482
863,800000065483
864,800000057122
865,800000075033
866,800000044938
867,800000044956
868,800000058103
869,800000083724
870,800000083452
871,800000044967
872,800000044953
873,800000044968
874,800000044954
875,800000044937
876,800000044955
877,800000044960
878,800000044961
879,800000044947
880,800000044948
881,800000044966
882,800000044951
883,800000077830
884,800000044942
885,800000059640
886,800000044949
887,800000062337
888,800000059603
889,800000069172
890,800000059607
891,800000057154
892,800000075034
893,800000075036
894,800000057155
895,800000057990
896,800000043474
897,800000044898
898,800000059074
899,800000059075
900,800000058022
901,800000058024
902,800000058025
903,800000057153
904,800000057152
905,800000058084
906,800000044855
907,800000043472
908,800000059090
909,800000058046
910,800000044881
911,800000044859
912,800000044868
913,800000077831
914,800000075035
915,800000044897
916,800000044896
917,800000070896
918,800000043463
919,800000034217
920,800000044871
921,800000044872
922,800000044873
923,800000044874
924,800000044875
925,800000044882
926,800000044877
927,800000044878
928,800000044867
929,800000044851
930,800000044852
931,800000044856
932,800000044880
933,800000044860
934,800000044861
935,800000069149
936,800000044869
937,800000044870
938,800000059635
939,800000058073
940,800000057976
941,800000059117
942,800000057151
943,800000043488
944,800000062338
945,800000060384
946,800000060400
947,800000060385
948,800000083723
949,800000060386
950,800000062331
951,800000065486
952,800000062334
953,800000062327
954,800000044663
955,800000044646
956,800000044662
957,800000060389
958,800000060391
959,800000060376
