,school_name,attendance
327,BROOKLYN LAB SCHOOL,74
328,CAPTAIN VERNON A RICHARDS HS-FIRE,80
329,CYPRESS HILLS COLLEGIATE PREP SCHOOL,81
330,EAST NEW YORK FAMILY ACADEMY,92
331,HIGH SCHOOL FOR CIVIL RIGHTS,70
332,IS 171 ABRAHAM LINCOLN ,94
333,MULTICULTURAL HIGH SCHOOL,88
334,PERF ARTS & TECH HIGH SCHOOL,83
335,SCHOOL FOR CLASSICS HIGH SCHOOL,81
336,TRANSIT TECH CAREER AND TECH EDU,83
337,URBAN ASSEMBLY-COLLABORATIVE HEALTHC,85
338,W H MAXWELL CAREER AND TECH HS,73
339,WORLD ACAD FOR TOTAL COM HEALTH,81
340,FORT HAMILTON HIGH SCHOOL,90
341,FRANKLIN D ROOSEVELT HIGH SCHOOL,88
342,HIGH SCHOOL OF TELECOMMUNICATION,92
343,JHS 227 EDWARD B SHALLOW ,96
344,NEW UTRECHT HIGH SCHOOL,85
345,URBAN ASSEMBLY SCH-CRIMINAL JUSTICE,92
346,ABRAHAM LINCOLN HIGH SCHOOL,84
347,BROOKLYN STUDIO SECONDARY SCHOOL,90
348,EDWARD R MURROW HIGH SCHOOL,90
349,HIGH SCHOOL OF SPORTS MANAGEMENT,77
350,INTERNATIONAL HIGH SCH-LAFAYETTE,87
351,JOHN DEWEY HIGH SCHOOL,85
352,KINGSBOROUGH EARLY COLLEGE SCHOOL,92
353,LEADERS HIGH SCHOOL,86
354,LIBERATION DIPLOMA PLUS,50
355,LIFE ACAD HS FOR FILM AND MUSIC,88
356,RACHEL CARSON HS FOR COASTAL STUDIES,85
357,WILLIAM E GRADY CAREER AND TECH,82
358,BROOKLYN COLLEGE ACADEMY,96
359,JAMES MADISON HIGH SCHOOL,92
360,LEON M GOLDSTEIN HIGH SCH-SCIENCES,96
361,MIDWOOD HIGH SCHOOL,93
362,ORIGINS HIGH SCHOOL,87
363,PROFESSIONAL PATHWAYS HIGH SCHOOL,54
364,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,61
365,BROOKLYN COLLEGIATE,84
366,BROOKLYN DEMOCRACY ACADEMY,59
367,EAGLE ACADEMY FOR YOUNG MEN II,92
